Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly) 
 05/01  01:00:00,145329542.08003087,145329542.08003248,33337836.0,72776509.29434879,18528594.31998858 
 05/01  02:00:00,141861728.67027534,141861728.6702769,33337836.0,69428446.02933632,18528594.31998858 
 05/01  03:00:00,142570874.7646818,142570874.7646834,33337836.0,67754414.39682992,18528594.31998858 
 05/01  04:00:00,154666324.77171359,154666324.7717152,33337836.0,71432354.39682992,26721477.97243234 
 05/01  05:00:00,184556323.61953996,184556323.61954157,33337836.0,87158392.55936134,41059024.81671337 
 05/01  06:00:00,194629262.56465949,194629262.56465993,159357730.119778,120284500.51693063,43107245.639323528 
 05/01  07:00:00,202282952.96441246,202282952.96441389,235991012.541893,146054728.4744999,41059024.81671337 
 05/01  08:00:00,189277142.97124256,189277142.97124417,229185210.64452759,147728760.10700623,26721477.97243234 
 05/01  09:00:00,180467582.04595769,180467582.0459593,220210316.32185076,138368971.73951254,22625035.96520881 
 05/01  10:00:00,172709584.32977266,172709584.32977427,184112565.08923207,127005275.00452493,22625035.96520881 
 05/01  11:00:00,173444174.2300081,173444174.23000977,147416565.13456393,128679306.63703139,22625035.96520881 
 05/01  12:00:00,170715622.2004224,170715622.200424,116545531.83714801,127005275.00452493,22625035.96520881 
 05/01  13:00:00,162492979.5862967,162492979.58629827,114969925.63112857,121983180.1070062,22625035.96520881 
 05/01  14:00:00,157718335.3881587,157718335.3881604,113309458.8552676,120309148.4744999,22625035.96520881 
 05/01  15:00:00,175183542.43600367,175183542.43600533,114897570.15184316,125331243.37201898,28769699.15704594 
 05/01  16:00:00,239274523.75838713,239274523.7583852,125342793.7371878,160131382.96209438,43107245.639323528 
 05/01  17:00:00,315804317.8386743,315804317.8386725,173011777.8376848,204645835.61222039,55396571.298990879 
 05/01  18:00:00,329496615.3867433,329496615.38674148,221189805.60308988,204645835.61222039,69734118.14327161 
 05/01  19:00:00,313460042.13642039,313460042.1364185,187637385.05284424,185571734.18467615,79975222.98032911 
 05/01  20:00:00,324910862.81788358,324910862.8178817,183701123.411894,178875607.65465085,79975222.98032911 
 05/01  21:00:00,284775237.8586977,284775237.85869577,154440862.5445313,164823601.1246259,59493013.3062144 
 05/01  22:00:00,226674834.7545531,226674834.75455127,138040864.14598558,134031278.2695377,39010803.63209971 
 05/01  23:00:00,182699120.3864525,182699120.38645406,59868634.975877959,104912987.04695572,24673257.149822248 
 05/01  24:00:00,152085367.17509783,152085367.17509944,56652871.634643789,79472635.8243741,18528594.31998858 
 05/02  01:00:00,147963044.69874249,147963044.6987441,33337836.0,72776509.29434879,18528594.31998858 
 05/02  02:00:00,147006581.98877288,147006581.98877443,33337836.0,69428446.02933632,18528594.31998858 
 05/02  03:00:00,146027995.86702089,146027995.8670225,33337836.0,67754414.39682992,18528594.31998858 
 05/02  04:00:00,158318067.48208473,158318067.48208634,33337836.0,71432354.39682992,26721477.97243234 
 05/02  05:00:00,188381284.58744518,188381284.58744673,33337836.0,87158392.55936134,41059024.81671337 
 05/02  06:00:00,192499798.06992624,192499798.069927,130378077.72814992,120284500.51693063,43107245.639323528 
 05/02  07:00:00,203936256.11924077,203936256.11924217,259350331.01945705,146293383.9335012,41059024.81671337 
 05/02  08:00:00,197088595.4834791,197088595.4834807,234944469.82413129,149227177.3451531,28958421.146958624 
 05/02  09:00:00,189153138.89117537,189153138.89117695,188723506.9818321,139867388.97765938,24861979.139735078 
 05/02  10:00:00,181613000.18002448,181613000.1800261,184189613.7437839,128503692.24267179,24861979.139735078 
 05/02  11:00:00,175074446.91734699,175074446.91734854,147738853.85071106,130177723.87517827,24861979.139735078 
 05/02  12:00:00,167910755.00703059,167910755.00703223,144400519.57024393,128385990.86668752,24537513.819436253 
 05/02  13:00:00,163205423.22746859,163205423.2274702,114813094.76296464,123481597.34515308,24861979.139735078 
 05/02  14:00:00,161490096.2174252,161490096.2174267,86612866.76817931,121807565.71264674,24861979.139735078 
 05/02  15:00:00,172783264.08531589,172783264.08531753,114675365.13893774,126829660.61016584,31006642.33157221 
 05/02  16:00:00,222499526.36215339,222499526.36215154,144843754.916147,161629800.20024125,45344188.81384978 
 05/02  17:00:00,276996729.785378,276996729.78537616,182375018.60388095,204884491.07122169,55396571.298990879 
 05/02  18:00:00,291086410.69531449,291086410.69531258,201668671.1088646,204645835.61222039,69734118.14327161 
 05/02  19:00:00,291429911.78591206,291429911.7859102,206878404.85328735,185571734.18467615,79975222.98032911 
 05/02  20:00:00,313429724.26134136,313429724.2613394,183439695.2328043,178875607.65465085,79975222.98032911 
 05/02  21:00:00,278660029.8456528,278660029.845651,147462757.20879264,164823601.1246259,59493013.3062144 
 05/02  22:00:00,244937175.0025783,244937175.00257636,116550352.61033096,134031278.2695377,39010803.63209971 
 05/02  23:00:00,192790794.6265905,192790794.6265921,84888071.77933052,104912987.04695572,24673257.149822248 
 05/02  24:00:00,156664871.13654164,156664871.13654325,33337836.0,79472635.8243741,18528594.31998858 
